date_month,crypto_id,id_name,open,close,diff_oc,mean_oc,high,low,diff_hl,mean_hl,volume,number_of_trades
2022-07,ADA,Cardano,0.4599,0.5161,0.05620000000000003,0.488,0.556,0.4023,0.15370000000000006,0.47915,6516727657.1,6512956
2022-07,ALGO,Algorand,0.3148,0.3361,0.021299999999999986,0.32545,0.3786,0.2898,0.08879999999999999,0.3342,1164110573.0,1613321
2022-07,ATOM,Cosmos,7.57,10.351,2.7810000000000006,8.9605,11.495,7.18,4.3149999999999995,9.337499999999999,148551922.87,3809632
2022-07,AVAX,Avalanche,16.98,23.72,6.739999999999998,20.35,26.38,15.8,10.579999999999998,21.09,119695686.82,5167735
2022-07,BAT,Basic Attention Token,0.3924,0.399,0.006599999999999995,0.39570000000000005,0.4595,0.3476,0.1119,0.40355,527368814.0,1015561
2022-07,BCH,Bitcoin Cash,103.2,139.3,36.10000000000001,121.25,165.5,95.2,70.3,130.35,4259952.556,1624557
2022-07,BNB,Binance Coin,219.6,283.4,63.79999999999998,251.5,302.0,213.5,88.5,257.75,17406679.066,7783303
2022-07,BTC,Bitcoin,19942.21,23293.32,3351.1100000000006,21617.765,24668.0,18781.0,5887.0,21724.5,4983278.5881,122560442
2022-07,CAKE,PancakeSwap,3.045,3.961,0.9159999999999999,3.503,4.23,2.843,1.3870000000000005,3.5365,57243224.37,988079
2022-07,CHZ,Chiliz,0.0975,0.1219,0.02439999999999999,0.10969999999999999,0.1372,0.0936,0.043599999999999986,0.1154,3515604985.0,1277255
2022-07,CRV,Curve DAO Token,0.687,1.318,0.631,1.0025,1.588,0.666,0.922,1.127,530580038.1,1937039
2022-07,DASH,Dash,42.3,51.1,8.800000000000004,46.7,54.7,39.3,15.400000000000006,47.0,2588016.318,523795
2022-07,DOGE,Dogecoin,0.06642,0.06807,0.0016499999999999987,0.067245,0.07695,0.05754,0.019410000000000004,0.067245,22814182887.0,4342457
2022-07,DOT,Polkadot,7.06,8.62,1.5599999999999996,7.84,9.21,6.0,3.210000000000001,7.605,226004126.46,2870675
2022-07,ENJ,Enjin Coin,0.508,0.613,0.10499999999999998,0.5605,0.708,0.442,0.26599999999999996,0.575,370169764.0,771470
2022-07,EOS,EOS.IO,0.926,1.331,0.4049999999999999,1.1285,1.449,0.887,0.562,1.1680000000000001,389101653.0,1350942
2022-07,ETC,Ethereum Classic,15.01,36.35,21.340000000000003,25.68,45.36,13.34,32.019999999999996,29.35,127295656.99,6335319
2022-07,ETH,Ethereum,1071.02,1678.12,607.0999999999999,1374.57,1784.79,1006.32,778.4699999999999,1395.555,38630369.93046,37314090
2022-07,FIL,Filecoin,5.4,9.77,4.369999999999999,7.585,10.72,5.0,5.720000000000001,7.86,195304643.38,2484608
2022-07,GRT,The Graph,0.0955,0.1281,0.03259999999999999,0.1118,0.1461,0.0848,0.06130000000000001,0.11545,2742189371.0,1339234
2022-07,HBAR,Hedera,0.0634,0.0757,0.012300000000000005,0.06955,0.0817,0.055,0.026699999999999995,0.06835,1982982291.0,760283
2022-07,ICP,Internet Computer,5.35,8.99,3.6400000000000006,7.17,9.8,5.12,4.680000000000001,7.460000000000001,79138311.46,1777127
2022-07,IOST,IOST,0.01337,0.01472,0.0013500000000000005,0.014045,0.01646,0.01218,0.004279999999999999,0.01432,8152720913.0,642543
2022-07,IOTA,IOTA,0.2693,0.3175,0.04820000000000002,0.2934,0.3365,0.2469,0.08960000000000001,0.2917,368024139.0,675124
2022-07,LINK,Chainlink,6.27,7.651,1.3810000000000002,6.9605,8.21,5.7,2.5100000000000007,6.955,193271151.75,3350173
2022-07,LTC,Litecoin,53.84,59.74,5.899999999999999,56.790000000000006,64.58,46.41,18.17,55.495,16038743.52,2751481
2022-07,MANA,Decentraland,0.8822,0.9745,0.09230000000000005,0.92835,1.0949,0.7543,0.3406,0.9246,820018902.0,3024552
2022-07,MATIC,Polygon,0.4808,0.9279,0.44709999999999994,0.70435,1.0197,0.4486,0.5711,0.7341500000000001,6191085184.2,11705251
2022-07,NEAR,NEAR Protocol,3.338,4.231,0.8929999999999998,3.7845,4.759,3.038,1.7210000000000005,3.8985000000000003,371824072.8,3648653
2022-07,NEO,NEO,8.47,10.98,2.51,9.725000000000001,12.08,7.81,4.2700000000000005,9.945,17686047.63,773852
2022-07,QTUM,Qtum,2.824,4.059,1.2350000000000003,3.4415,5.258,2.507,2.751,3.8825000000000003,40750639.3,783654
2022-07,RVN,Ravencoin,0.02305,0.03705,0.013999999999999999,0.03005,0.04399,0.02014,0.02385,0.032065,6640970693.3,1299640
2022-07,SAND,The Sandbox,1.1234,1.3073,0.18389999999999995,1.21535,1.494,1.0053,0.4886999999999999,1.24965,1197963335.0,4778957
2022-07,SHIB,Shiba Inu,1.035e-05,1.17e-05,1.3500000000000006e-06,1.1025e-05,1.315e-05,9.76e-06,3.3899999999999997e-06,1.1455e-05,173268529235248.0,4234682
2022-07,SOL,Solana,33.76,42.35,8.590000000000003,38.055,47.36,31.82,15.54,39.59,141628326.49,9663526
2022-07,STMX,StormX,0.00714,0.00964,0.0024999999999999996,0.00839,0.01216,0.00655,0.00561,0.009355,8085564680.0,255193
2022-07,SUSHI,SushiSwap,0.99,1.446,0.45599999999999996,1.218,1.668,0.942,0.726,1.305,264499587.1,1448154
2022-07,TFUEL,Theta Fuel,0.0475,0.0609,0.013400000000000002,0.0542,0.0679,0.0445,0.023400000000000004,0.0562,1560673598.0,379389
2022-07,THETA,Theta Network,1.198,1.338,0.14000000000000012,1.268,1.5,1.055,0.44500000000000006,1.2774999999999999,237378387.8,1178718
2022-07,TRX,TRON,0.06481,0.06886,0.004049999999999998,0.066835,0.072,0.0625,0.009499999999999995,0.06725,19740422505.1,3768524
2022-07,UNI,Uniswap,5.01,8.32,3.3100000000000005,6.665,9.83,4.72,5.11,7.275,139379108.47,2213075
2022-07,VET,VeChain,0.02278,0.02711,0.004329999999999997,0.024945000000000002,0.02865,0.02073,0.00792,0.024689999999999997,19902506393.6,1748396
2022-07,WAVES,Waves,5.08,5.67,0.5899999999999999,5.375,6.623,4.34,2.2830000000000004,5.4815000000000005,184245848.29,2598904
2022-07,XEM,NEM,0.0384,0.0494,0.011000000000000003,0.043899999999999995,0.0684,0.0361,0.0323,0.052250000000000005,2363866243.0,490152
2022-07,XLM,Stellar,0.1123,0.1176,0.005299999999999999,0.11495,0.1253,0.099,0.02629999999999999,0.11215,2104202692.0,941898
2022-07,XRP,Ripple,0.332,0.3792,0.047199999999999964,0.3556,0.4099,0.302,0.1079,0.35595,8609684001.0,5040729
2022-07,XTZ,Tezos,1.427,1.739,0.31200000000000006,1.5830000000000002,1.862,1.33,0.532,1.596,144574062.8,1010589
2022-07,ZEC,Zcash,54.6,64.5,9.899999999999999,59.55,70.0,50.0,20.0,60.0,3765698.16262,628120
2022-07,ZIL,Zilliqa,0.03874,0.04263,0.0038900000000000046,0.040685,0.04755,0.03415,0.013400000000000002,0.04085,12433524633.2,1848379
2022-08,AAVE,Aave,97.6,84.8,-12.799999999999997,91.19999999999999,115.8,78.0,37.8,96.9,5668178.3889999995,1615986
2022-08,ADA,Cardano,0.5161,0.4462,-0.06990000000000002,0.48114999999999997,0.5948,0.4236,0.17120000000000002,0.5092,5094031038.7,5425545
2022-08,ALGO,Algorand,0.336,0.2885,-0.04750000000000004,0.31225,0.3838,0.2788,0.10499999999999998,0.3313,1022596405.0,1363810
2022-08,ATOM,Cosmos,10.351,11.816,1.4649999999999999,11.0835,13.45,9.642,3.808,11.546,108358617.13000001,3905652
2022-08,AVAX,Avalanche,23.72,19.14,-4.579999999999998,21.43,30.89,17.48,13.41,24.185000000000002,92005523.69,4773090
2022-08,BAT,Basic Attention Token,0.3992,0.3354,-0.06380000000000002,0.36729999999999996,0.48,0.3238,0.1562,0.4019,386989868.0,774193
2022-08,BCH,Bitcoin Cash,139.3,115.2,-24.10000000000001,127.25,148.8,110.8,38.000000000000014,129.8,3112511.548,1428885
2022-08,BNB,Binance Coin,283.5,279.2,-4.300000000000011,281.35,336.8,272.3,64.5,304.55,15761599.544,8256319
2022-08,BTC,Bitcoin,23296.36,20050.02,-3246.34,21673.190000000002,25211.32,19520.0,5691.32,22365.66,5692462.41571,181680670
2022-08,CAKE,PancakeSwap,3.96,3.915,-0.04499999999999993,3.9375,4.684,3.53,1.1540000000000004,4.107,44617524.45,915077
2022-08,CHZ,Chiliz,0.1219,0.2179,0.09600000000000002,0.1699,0.2654,0.1212,0.14420000000000002,0.19330000000000003,12947523941.0,5879531
2022-08,CRV,Curve DAO Token,1.318,1.147,-0.17100000000000004,1.2325,1.495,0.969,0.5260000000000001,1.232,367804029.6,1438038
2022-08,DASH,Dash,51.1,44.5,-6.600000000000001,47.8,58.6,43.6,15.0,51.1,2407347.584,498652
2022-08,DOGE,Dogecoin,0.06809,0.06135,-0.006739999999999996,0.06472,0.08962,0.06007,0.029550000000000007,0.074845,33334639056.0,5738929
2022-08,DOT,Polkadot,8.63,7.03,-1.6000000000000005,7.83,9.68,6.79,2.8899999999999997,8.235,192768427.07999998,2557009
2022-08,ENJ,Enjin Coin,0.612,0.517,-0.09499999999999997,0.5645,0.751,0.485,0.266,0.618,299868660.8,693566
2022-08,EOS,EOS.IO,1.332,1.373,0.040999999999999925,1.3525,1.948,1.148,0.8,1.548,759494885.0,2966777
2022-08,ETC,Ethereum Classic,36.35,32.43,-3.9200000000000017,34.39,45.71,30.34,15.370000000000001,38.025,142456947.62,7659728
2022-08,ETH,Ethereum,1678.12,1554.1,-124.01999999999998,1616.11,2030.0,1422.08,607.9200000000001,1726.04,26075507.315700002,34713661
2022-08,FIL,Filecoin,9.77,5.75,-4.02,7.76,11.39,5.52,5.870000000000001,8.455,248520138.45000002,3547787
2022-08,GRT,The Graph,0.1281,0.1026,-0.025499999999999995,0.11535,0.1582,0.0974,0.06080000000000001,0.1278,2581901498.0,1386313
2022-08,HBAR,Hedera,0.0756,0.0631,-0.012499999999999997,0.06935,0.0845,0.0616,0.022900000000000004,0.07305,2201698494.0,771050
2022-08,ICP,Internet Computer,9.0,6.24,-2.76,7.62,9.36,5.64,3.7199999999999998,7.5,49112113.45,1185613
2022-08,IOST,IOST,0.01471,0.01299,-0.001720000000000001,0.013850000000000001,0.01716,0.01257,0.004590000000000002,0.014865,8312754572.0,768473
2022-08,IOTA,IOTA,0.3175,0.2809,-0.03660000000000002,0.2992,0.3713,0.2695,0.1018,0.3204,325179583.0,610523
2022-08,LINK,Chainlink,7.652,6.627,-1.0250000000000004,7.1395,9.5,6.2,3.3,7.85,155006184.52,3310839
2022-08,LTC,Litecoin,59.74,53.84,-5.899999999999999,56.790000000000006,65.84,51.63,14.21,58.735,15408074.449,2617445
2022-08,MANA,Decentraland,0.9746,0.7727,-0.20189999999999997,0.87365,1.1291,0.7386,0.39049999999999996,0.9338500000000001,588186603.0,2307497
2022-08,MATIC,Polygon,0.9277,0.8323,-0.09539999999999993,0.88,1.0545,0.7535,0.30100000000000005,0.9039999999999999,2359502648.9,6447530
2022-08,NEAR,NEAR Protocol,4.231,4.374,0.1429999999999998,4.3025,6.111,3.692,2.4189999999999996,4.9015,428457607.6,4707262
2022-08,NEO,NEO,10.98,9.03,-1.950000000000001,10.004999999999999,12.57,8.79,3.780000000000001,10.68,12128813.4,608156
2022-08,QTUM,Qtum,4.059,3.117,-0.9420000000000002,3.588,4.373,2.941,1.4320000000000004,3.657,17654422.6,378238
2022-08,RVN,Ravencoin,0.03704,0.02854,-0.008499999999999997,0.03279,0.04249,0.02677,0.01572,0.03463,5557189870.0,1250160
